adjectifs,ensembles des traits morpho,catégorie
mâle,"{'', 's', 'p'}",Varie en nombre
ok,{''},Ne varie pas en genre et en nombre
_-ci,{''},Ne varie pas en genre et en nombre
_-clef,"{'s', 'p'}",Varie en nombre
_-clé,"{'s', 'p'}",Varie en nombre
_-là,{''},Ne varie pas en genre et en nombre
_-né,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
_NUM,{''},Ne varie pas en genre et en nombre
_NUMBER,{''},Ne varie pas en genre et en nombre
_PATENTID,{''},Ne varie pas en genre et en nombre
_ROMNUM,{''},Ne varie pas en genre et en nombre
adj,{''},Ne varie pas en genre et en nombre
uw,{''},Ne varie pas en genre et en nombre
abaissable,"{'s', 'p'}",Varie en nombre
abaissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abaisseur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
abandonnique,"{'s', 'p'}",Varie en nombre
abandonné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abasourdi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abasourdissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abattu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abaxial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbasside,"{'s', 'p'}",Varie en nombre
abbatial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbevillien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abbevillois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
abcédant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abdicataire,"{'s', 'p'}",Varie en nombre
abdominal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abducteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
aberrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
abiotique,"{'s', 'p'}",Varie en nombre
abiétin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
