adjectifs,ensembles des traits morpho,catégorie
mâle,"[('$', ''), ('mâle', 's'), ('mâles', 'p')]",variations en genre et en nombre silencieuses
ok,"[('OK', ''), ('ok', '')]",invariable
_-ci,"[('_-ci', '')]",variations en genre et en nombre silencieuses
_-clef,"[('_-clef', 's'), ('_-clefs', 'p')]",invariable
_-clé,"[('_-clé', 's'), ('_-clés', 'p')]",variations en genre et en nombre silencieuses
_-là,"[('_-là', '')]",invariable
_-né,"[('_-né', 'ms'), ('_-née', 'fs'), ('_-nées', 'fp'), ('_-nés', 'mp')]",variations en genre et en nombre silencieuses
_NUM,"[('_NUM', '')]",invariable
_NUMBER,"[('_NUMBER', '')]",invariable
_PATENTID,"[('_PATENTID', '')]",invariable
_ROMNUM,"[('_ROMNUM', '')]",invariable
adj,"[('_error', '')]",invariable
uw,"[('_uw', '')]",invariable
abaissable,"[('abaissable', 's'), ('abaissables', 'p')]",variations en genre et en nombre silencieuses
abaissant,"[('abaissant', 'ms'), ('abaissante', 'fs'), ('abaissantes', 'fp'), ('abaissants', 'mp')]",variations en genre audible et en nombre silencieuses
abaisseur,"[('abaisseur', 'ms'), ('abaisseurs', 'mp'), ('abaisseuse', 'fs'), ('abaisseuses', 'fp')]",invariable
abandonnique,"[('abandonnique', 's'), ('abandonniques', 'p')]",variations en genre et en nombre silencieuses
abandonné,"[('abandonné', 'ms'), ('abandonnée', 'fs'), ('abandonnées', 'fp'), ('abandonnés', 'mp')]",variations en genre et en nombre silencieuses
abasourdi,"[('abasourdi', 'ms'), ('abasourdie', 'fs'), ('abasourdies', 'fp'), ('abasourdis', 'mp')]",variations en genre et en nombre silencieuses
abasourdissant,"[('abasourdissant', 'ms'), ('abasourdissante', 'fs'), ('abasourdissantes', 'fp'), ('abasourdissants', 'mp')]",variations en genre audible et en nombre silencieuses
abattu,"[('abattu', 'ms'), ('abattue', 'fs'), ('abattues', 'fp'), ('abattus', 'mp')]",variations en genre et en nombre silencieuses
abaxial,"[('abaxial', 'ms'), ('abaxiale', 'fs'), ('abaxiales', 'fp'), ('abaxiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
abbasside,"[('abbasside', 's'), ('abbassides', 'p')]",variations en genre et en nombre silencieuses
abbatial,"[('abbatial', 'ms'), ('abbatiale', 'fs'), ('abbatiales', 'fp'), ('abbatiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
abbevillien,"[('abbevillien', 'ms'), ('abbevillienne', 'fs'), ('abbevilliennes', 'fp'), ('abbevilliens', 'mp')]",variations en genre audible et en nombre silencieuses
abbevillois,"[('abbevillois', 'm'), ('abbevilloise', 'fs'), ('abbevilloises', 'fp')]",variations en genre audible et en nombre silencieuses
abcédant,"[('abcédant', 'ms'), ('abcédante', 'fs'), ('abcédantes', 'fp'), ('abcédants', 'mp')]",variations en genre audible et en nombre silencieuses
abdicataire,"[('abdicataire', 's'), ('abdicataires', 'p')]",variations en genre et en nombre silencieuses
